iter	RMSE
0	0.9356271795
1	0.9294470571
2	0.9236706366
3	0.9185593574
4	0.9133993348
5	0.9085833606
6	0.9035341338
7	0.8989723265
8	0.8944828427
9	0.890277798
10	0.8860423696
11	0.8823967088
12	0.8790223178
13	0.8754727661
14	0.8720626328
15	0.8692323706
16	0.8661402924
17	0.8634094693
18	0.8605117417
19	0.8575776789
20	0.8549840032
21	0.8526338114
22	0.8502774467
23	0.8481089792
24	0.8458242069
25	0.8436804227
26	0.8416948557
27	0.839893615
28	0.8379706524
29	0.8359928527
30	0.8340970261
31	0.832322582
32	0.8306887107
33	0.8289570209
34	0.8273042059
35	0.8259012289
36	0.8243468632
37	0.8229332044
38	0.8215165563
39	0.8199355792
40	0.8185077801
41	0.8172566398
42	0.8160299599
43	0.8149891288
44	0.8136724521
45	0.8124092025
46	0.8111406208
47	0.8101416563
48	0.8091725016
49	0.8079524459
50	0.8068480409
51	0.8058504999
52	0.8047620504
53	0.8036675
54	0.80260421
55	0.8016057986
56	0.8006955591
57	0.7998136463
58	0.7990448379
59	0.798069869
60	0.7972801764
61	0.7964617636
62	0.7957294332
63	0.7948644726
64	0.7940576676
65	0.7932885321
66	0.7925499759
67	0.791699328
68	0.7908334327
69	0.7900748836
70	0.7893804264
71	0.7888476143
72	0.7881481514
73	0.7872460915
74	0.7865993982
75	0.7858676587
76	0.7851734817
77	0.7845267475
78	0.7840031076
79	0.7833205937
80	0.7827679302
81	0.7821501941
82	0.7814694251
83	0.7808669529
84	0.7802541831
85	0.7796657899
86	0.7789962466
87	0.7783068397
88	0.7776919728
89	0.7772440264
90	0.776710697
91	0.776112976
92	0.7755800706
93	0.7750217981
94	0.7746079702
95	0.7740545611
96	0.7733505791
97	0.7728835958
98	0.7723412154
99	0.7718716277
100	0.7712290097
101	0.7707939913
102	0.7702284896
103	0.7698049559
104	0.769341197
105	0.7689358078
106	0.7683986078
107	0.7678595789
108	0.7674292548
109	0.7669109094
110	0.7665658203
111	0.7661176103
112	0.7656657466
113	0.76502953
114	0.7644668875
115	0.7639867028
116	0.7634978404
117	0.763031812
118	0.7625536519
119	0.7621298499
120	0.7616102984
121	0.7612628665
122	0.7607724203
123	0.7603506115
124	0.7598960314
125	0.7594718226
126	0.7590512688
127	0.758658285
128	0.7582256553
129	0.7577617185
130	0.7573554242
131	0.7568944176
132	0.7565592797
133	0.756261966
134	0.7557427431
135	0.7553693006
136	0.7549923979
137	0.7546465111
138	0.7541194542
139	0.7537324167
140	0.7534052011
141	0.753039554
142	0.7525324836
143	0.7520757366
144	0.751684694
145	0.7512969934
146	0.750851381
147	0.7505117591
148	0.7501839389
149	0.7498209594
150	0.7494107528
151	0.7489775488
152	0.7485370373
153	0.7481524016
154	0.747780514
155	0.7473917361
156	0.7469943355
157	0.7466164657
158	0.7462840444
159	0.7459237464
160	0.7454904838
161	0.7450877245
162	0.7446218774
163	0.7442478868
164	0.743822959
165	0.743432632
166	0.7431150692
167	0.7427652457
168	0.7423699077
169	0.7420909557
170	0.7417207776
171	0.7413603187
172	0.7409950276
173	0.7406243644
174	0.7401586948
175	0.7397981592
176	0.7394397608
177	0.7391072131
178	0.7387322704
179	0.738453297
180	0.7381019851
181	0.7378101761
182	0.7374810038
183	0.7371423349
184	0.736774728
185	0.736470628
186	0.7361361768
187	0.7358598178
188	0.7355512408
189	0.7351456857
190	0.7347104439
191	0.7344586232
192	0.7340777388
193	0.7337814069
194	0.7335358915
195	0.7332223093
196	0.7328837806
197	0.7325570433
198	0.7321231794
199	0.7318356261
200	0.7315908309
201	0.7312687955
202	0.7309842473
203	0.73064007
204	0.73035968
205	0.7299905997
206	0.7296673379
207	0.7293280132
208	0.7290326302
209	0.7286952429
210	0.7283135611
211	0.7280752675
212	0.727797255
213	0.7274225936
214	0.7271720073
215	0.7269529954
216	0.7267285769
217	0.7265031226
218	0.7262122731
219	0.7259019828
220	0.7255678334
221	0.7252287035
222	0.7249520767
223	0.7246111184
224	0.7243095478
225	0.7239635179
226	0.7236832485
227	0.7233941493
228	0.7231069608
229	0.7228376723
230	0.7225383072
231	0.7221721005
232	0.7218173013
233	0.7215054597
234	0.7212746669
235	0.7209370622
236	0.720667122
237	0.7203913109
238	0.7200833036
239	0.7198476643
240	0.7195641616
241	0.7192608439
242	0.7189802483
243	0.7187632989
244	0.7185652484
245	0.7183498211
246	0.7180570315
247	0.7177992155
248	0.7175391044
249	0.7172301013
250	0.7168900127
251	0.7165822607
252	0.7163581574
253	0.7161403041
254	0.7158326802
255	0.7155352871
256	0.7153074391
257	0.7151028163
258	0.7148635595
259	0.7145649957
260	0.7143586657
261	0.7141420607
262	0.7138592579
263	0.7136228503
264	0.7133472682
265	0.7130869009
266	0.7127470389
267	0.7124473729
268	0.7122028647
269	0.7119441786
270	0.7117483286
271	0.7114767906
272	0.7112520144
273	0.7108736448
274	0.7106053539
275	0.7103510074
276	0.71014116
277	0.7098504547
278	0.7096227402
279	0.7093822147
280	0.7090918069
281	0.7088468666
282	0.7085469683
283	0.7082532816
284	0.7080164729
285	0.7077878667
286	0.7075604675
287	0.7072845134
288	0.7069963827
289	0.7067504075
290	0.7065195734
291	0.7063111784
292	0.7060554982
293	0.7057465463
294	0.7055147258
295	0.7052278436
296	0.7048615246
297	0.7046766365
298	0.704410363
299	0.7041702955
300	0.7039716013
301	0.7036970342
302	0.703401803
303	0.7030906842
304	0.7027354889
305	0.7024982372
306	0.7023441223
307	0.7021050994
308	0.7018530175
309	0.7015795046
310	0.7012849311
311	0.7010774502
312	0.700850607
313	0.7005882748
314	0.7003691495
315	0.7000825341
316	0.6998580325
317	0.6996155928
318	0.6993988326
319	0.6991369144
320	0.6988797054
321	0.6985859533
322	0.6983114939
323	0.698030485
324	0.6977513677
325	0.6974470257
326	0.6971418205
327	0.6967493548
328	0.6964408604
329	0.6961568601
330	0.6958904956
331	0.695620347
332	0.695294177
333	0.6949752375
334	0.6947505674
335	0.6944473023
336	0.6941683496
337	0.6938799583
338	0.6935685974
339	0.6933919302
340	0.6931708537
341	0.6928551462
342	0.6925655042
343	0.692325116
344	0.6920374355
345	0.6917312568
346	0.6914812327
347	0.691218673
348	0.6910006171
349	0.6908219727
350	0.6906420486
351	0.6903806343
352	0.6901108796
353	0.6898121516
354	0.6896012028
355	0.6893702967
356	0.6890803407
357	0.688823719
358	0.6885435929
359	0.6882953659
360	0.6880448604
361	0.6877174591
362	0.6874126662
363	0.6871436865
364	0.6869327423
365	0.6867045081
366	0.6863963688
367	0.6861621926
368	0.6859254095
369	0.6856473096
370	0.6853456999
371	0.6850031691
372	0.684773052
373	0.6845096049
374	0.6842493383
375	0.6839451
376	0.6837138853
377	0.6835187148
378	0.6832944476
379	0.6830390053
380	0.6827726125
381	0.6825078381
382	0.6823112434
383	0.6820530177
384	0.6817877418
385	0.6814986048
386	0.6812181265
387	0.6809853827
388	0.6806988263
389	0.6804886906
390	0.6802470683
391	0.6799592587
392	0.679744071
393	0.6794641547
394	0.6791568341
395	0.6788662925
396	0.6786117943
397	0.678400657
398	0.678130855
399	0.6778966209
400	0.6776563093
401	0.677441825
402	0.677203104
403	0.676942865
404	0.6767180701
405	0.6765160071
406	0.6762435573
407	0.676049352
408	0.675807382
409	0.6755075604
410	0.6752472052
411	0.674990786
412	0.6746905413
413	0.674462466
414	0.6742677425
415	0.6740472906
416	0.6737937739
417	0.6735343296
418	0.6732464407
419	0.672987065
420	0.6727960403
421	0.6725712838
422	0.6723494357
423	0.672151466
424	0.6719318986
425	0.6716592533
426	0.6714464875
427	0.6711401088
428	0.670869117
429	0.6706447527
430	0.6704140373
431	0.6701480431
432	0.6699057168
433	0.6696443683
434	0.6694008661
435	0.6691403456
436	0.6689262586
437	0.6687374112
438	0.6685151504
439	0.668278539
440	0.6680777865
441	0.667815555
442	0.6675715567
443	0.6673645087
444	0.6671861545
445	0.6669330792
446	0.6667078938
447	0.6664859922
448	0.6662341027
449	0.6660451232
450	0.6658435691
451	0.6655943291
452	0.6654278368
453	0.6651729133
454	0.6649332672
455	0.664755621
456	0.6644429711
457	0.6641831734
458	0.6639589014
459	0.6637264067
460	0.6634838886
461	0.6632591526
462	0.6629622717
463	0.6627630121
464	0.6625994119
465	0.6624366439
466	0.6622180776
467	0.6619946028
468	0.66171414
469	0.6614968171
470	0.6612182718
471	0.6610123505
472	0.6607818962
473	0.6606041869
474	0.6604008259
475	0.6602053256
476	0.6599714185
477	0.6597221664
478	0.6594466569
479	0.6592339651
480	0.6589836023
481	0.658702475
482	0.6584435047
483	0.6582063244
484	0.6579175513
485	0.6576421136
486	0.6574494437
487	0.6572422729
488	0.6570024273
489	0.6567705115
490	0.6565863465
491	0.6563831264
492	0.6562205044
493	0.6560304207
494	0.6558093135
495	0.6556133316
496	0.6553732672
497	0.6551513449
498	0.6549112755
499	0.6546669668
500	0.6545063881
501	0.6542521129
502	0.6540418095
503	0.6538698534
504	0.6535542007
505	0.6533625717
506	0.6532051239
507	0.6529535322
508	0.6527484212
509	0.6525622996
510	0.6523776052
511	0.6521428684
512	0.6519188409
513	0.6516760462
514	0.6514585785
515	0.6513144283
516	0.6510376055
517	0.6508214028
518	0.6506637072
519	0.6504210256
520	0.6502464443
521	0.649987866
522	0.6497492942
523	0.6495036426
524	0.6493376625
525	0.6490769707
526	0.6488153776
527	0.6485895647
528	0.6483532275
529	0.6482287376
530	0.6479868343
531	0.6477329123
532	0.6474730354
533	0.6472632773
534	0.6470732962
535	0.6468444068
536	0.6466576239
537	0.64650771
538	0.6462644884
539	0.6460338529
540	0.6458249945
541	0.6456362399
542	0.6454711116
543	0.6452697957
544	0.6451134232
545	0.6448963105
546	0.6446764905
547	0.6445032693
548	0.6442495926
549	0.644090142
550	0.6438904402
551	0.6436068147
552	0.6433981889
553	0.64319423
554	0.6429906944
555	0.6428412811
556	0.6426625505
557	0.6424805498
558	0.6422731789
559	0.6420706318
560	0.6419056953
561	0.6416880476
562	0.6414812104
563	0.6412478019
564	0.641079728
565	0.6408744461
566	0.6406350844
567	0.6403807965
568	0.6402189478
569	0.6400242369
570	0.6398002915
571	0.6395486055
572	0.6393443842
573	0.6391519109
574	0.6389748862
575	0.6387908169
576	0.63853975
577	0.6383543681
578	0.6381617631
579	0.6380167953
580	0.6377196259
581	0.6375181601
582	0.6372980245
583	0.6370533077
584	0.636893524
585	0.6366754011
586	0.6365105407
587	0.63633676
588	0.6361191581
589	0.635897732
590	0.6357142604
591	0.6355540355
592	0.6353589408
593	0.6351561187
594	0.6349622725
595	0.6347685246
596	0.634606853
597	0.6343983904
598	0.6341484812
599	0.6339005418
600	0.6336696862
601	0.6334974418
602	0.6333295339
603	0.6331985757
604	0.6330529514
605	0.6328532194
606	0.6326033596
607	0.6324411353
608	0.632194705
609	0.6319373686
610	0.6317028031
611	0.6315068533
612	0.6313241823
613	0.6310851517
614	0.630885413
615	0.630669571
616	0.630491442
617	0.6303185132
618	0.630137352
619	0.6299357317
620	0.6297760545
621	0.6296316677
622	0.6294946962
623	0.6293106685
624	0.6290594076
625	0.6288179919
626	0.6285923845
627	0.6283870262
628	0.6282771299
629	0.6280593415
630	0.6278247548
631	0.6275900149
632	0.6273947303
633	0.627197543
634	0.6269425159
635	0.6267129615
636	0.6265047736
637	0.6263034557
638	0.6260386439
639	0.6258664243
640	0.6257002866
641	0.6255585708
642	0.6253720346
643	0.6251393699
644	0.6249660865
645	0.6248211369
646	0.6246498654
647	0.6244928873
648	0.6243530219
649	0.6240797598
650	0.6239128229
651	0.6236633165
652	0.6234146605
653	0.6231365329
654	0.6229592466
655	0.6227670944
656	0.6225734418
657	0.6223309479
658	0.6221584235
659	0.6219689441
660	0.6217107789
661	0.6215728661
662	0.6213953909
663	0.6211773459
664	0.6210171824
665	0.6208838265
666	0.620679236
667	0.6204585689
668	0.6202809715
669	0.6200909153
670	0.6198659479
671	0.6196878947
672	0.6195030977
673	0.6193514325
674	0.6191454958
675	0.6189896393
676	0.6187803451
677	0.6186374492
678	0.6184379884
679	0.6182701375
680	0.618154293
681	0.6179752642
682	0.6178023566
683	0.6176019243
684	0.6174102791
685	0.6172743328
686	0.6170948829
687	0.6169456408
688	0.6166958966
689	0.61651967
690	0.6163277575
691	0.616122824
692	0.6159223141
693	0.6156754753
694	0.6154818324
695	0.6153233117
696	0.6151296182
697	0.6149310059
698	0.614728699
699	0.614492357
700	0.6142755239
701	0.6141092625
702	0.6139390066
703	0.6137363084
704	0.6135368091
705	0.6133447144
706	0.6131735176
707	0.6129227594
708	0.6126545825
709	0.6124082561
710	0.612210928
711	0.6120540388
712	0.6118137444
713	0.6116349333
714	0.6114456097
715	0.6112519338
716	0.6110489022
717	0.6108924315
718	0.6107195967
719	0.610549735
720	0.6103914943
721	0.610234694
722	0.6100080411
723	0.6098997142
724	0.6096922163
725	0.6095176912
726	0.609316579
727	0.6091510172
728	0.6089631864
729	0.6087909707
730	0.6085618165
731	0.6083865107
732	0.6081563134
733	0.6079533483
734	0.6077902558
735	0.6075857913
736	0.6074303538
737	0.607195834
738	0.607031959
739	0.6068351658
740	0.6066375263
741	0.6064986752
742	0.6063873351
743	0.6062422
744	0.6060241591
745	0.6057979373
746	0.6055961314
747	0.6054249367
748	0.6052666657
749	0.6051566653
750	0.6048959015
751	0.6046959821
752	0.6045570101
753	0.6044196022
754	0.6041851773
755	0.6040052054
756	0.6038484031
757	0.6036700764
758	0.6034741306
759	0.6033244308
760	0.6031321546
761	0.6029911166
762	0.6028313673
763	0.6026474961
764	0.6024789294
765	0.6022789371
766	0.6021580374
767	0.6019294355
768	0.6016745992
769	0.6014603877
770	0.601281047
771	0.6010956763
772	0.6008968505
773	0.6006871358
774	0.6005606119
775	0.6004076429
776	0.6002707211
777	0.6000198902
778	0.5998506924
779	0.5995914715
780	0.5993966782
781	0.5992726956
782	0.599119865
783	0.5989356272
784	0.5988176926
785	0.5986278117
786	0.5984443082
787	0.5983018268
788	0.5980600911
789	0.5979008001
790	0.5977163796
791	0.5975833124
792	0.5974140151
793	0.597210171
794	0.59703484
795	0.5968960764
796	0.5966801388
797	0.5964405038
798	0.5962617201
799	0.5960646349
800	0.595954899
801	0.595787592
802	0.5956181291
803	0.5954525669
804	0.5952678603
805	0.5950958246
806	0.5949218671
807	0.5947817506
808	0.5946036773
809	0.5944362464
810	0.5942970737
811	0.5940777149
812	0.5938939115
813	0.5937783243
814	0.5936413677
815	0.593499338
816	0.5933548487
817	0.5931676139
818	0.5930210619
819	0.5928871341
820	0.5926928123
821	0.5925853021
822	0.5924817455
823	0.5922673611
824	0.5920680873
825	0.5919268119
826	0.5917450472
827	0.5915775428
828	0.5914023091
829	0.5912363941
830	0.591133317
831	0.5910005402
832	0.5908618706
833	0.590624886
834	0.5904850743
835	0.5903368812
836	0.5901582301
837	0.5899558114
838	0.5898229184
839	0.5896534233
840	0.5894644784
841	0.5893495684
842	0.5891385974
843	0.5889968457
844	0.588774751
845	0.5885936077
846	0.588434875
847	0.5882762149
848	0.5881358986
849	0.5879977313
850	0.5878302279
851	0.5876495515
852	0.58750158
853	0.5873105367
854	0.5871566944
855	0.5869809033
856	0.5868188162
857	0.5866167082
858	0.5864539885
859	0.5863136559
860	0.586167885
861	0.586027245
862	0.5858557845
863	0.5856549971
864	0.5855325027
865	0.5853823058
866	0.5851999594
867	0.5850416221
868	0.5849116328
869	0.5847449499
870	0.5845719209
871	0.5843538144
872	0.5842017896
873	0.5839846812
874	0.5837976373
875	0.5836337646
876	0.5834941213
877	0.5832946095
878	0.5831428529
879	0.5829735442
880	0.5827996903
881	0.582593549
882	0.5824712091
883	0.5822837182
884	0.5820763211
885	0.581920957
886	0.5817308887
887	0.5815694799
888	0.5813539377
889	0.5811346852
890	0.5809798564
891	0.5808516003
892	0.5806880225
893	0.5805400745
894	0.5803575957
895	0.5802332928
896	0.5800723618
897	0.5799207856
898	0.5797336346
899	0.5795388413
900	0.5793691849
901	0.5791691029
902	0.578963419
903	0.5787941746
904	0.5786714429
905	0.5785050468
906	0.5783184844
907	0.5781437269
908	0.5779738822
909	0.5777953779
910	0.5775960263
911	0.5774712142
912	0.577341593
913	0.5772256478
914	0.5771440975
915	0.5770001594
916	0.5768798527
917	0.5767196841
918	0.5765460953
919	0.5763566045
920	0.5762608555
921	0.5760771346
922	0.5758916475
923	0.5756813382
924	0.5755116313
925	0.5753575441
926	0.5751778735
927	0.5750127844
928	0.5748162261
929	0.5746144176
930	0.5744679335
931	0.5743075155
932	0.574121097
933	0.574000659
934	0.5738757091
935	0.5737288281
936	0.5735895301
937	0.5734193367
938	0.5732624491
939	0.5731153586
940	0.5729813528
941	0.5728783551
942	0.5727556095
943	0.5726575329
944	0.5725133527
945	0.5723315615
946	0.5721498142
947	0.5720960827
948	0.5719455014
949	0.5717253676
950	0.5715038127
951	0.5713336585
952	0.5711846455
953	0.5710414884
954	0.5709015609
955	0.5707619662
956	0.5706404543
957	0.5704768155
958	0.5703034887
959	0.570158916
960	0.5700417325
961	0.5698790775
962	0.569696405
963	0.5695560641
964	0.5693604124
965	0.5692524324
966	0.5691327618
967	0.5689736563
968	0.5688294217
969	0.5686814528
970	0.5685129685
971	0.5683377766
972	0.568228492
973	0.5680626645
974	0.5679068079
975	0.567752897
976	0.5675949278
977	0.5674150749
978	0.5672458724
979	0.5671112155
980	0.5669282802
981	0.5667462649
982	0.5665684274
983	0.5664095414
984	0.5662830233
985	0.5660974124
986	0.5659097647
987	0.5657736232
988	0.5656129973
989	0.5654606216
990	0.5653609076
991	0.5651826434
992	0.5649685256
993	0.5647955212
994	0.5646174977
995	0.5644596417
996	0.5642962258
997	0.5641785905
998	0.564051259
999	0.5639044266
1000	0.5637469524
1001	0.5636167103
1002	0.5634297544
1003	0.5632979093
1004	0.5631641895
1005	0.5629497265
1006	0.5628307242
1007	0.5626079689
1008	0.5624674849
1009	0.5623209382
1010	0.5621958125
1011	0.5620417009
1012	0.5618687239
1013	0.5617050263
1014	0.5615433577
1015	0.5613447977
1016	0.5612022628
1017	0.5610267754
1018	0.5608129599
1019	0.5606727288
1020	0.5605433322
1021	0.5603958264
1022	0.5602462415
1023	0.5601286325
1024	0.5599877438
1025	0.5598564147
1026	0.5596592385
1027	0.5595619369
1028	0.5594278044
1029	0.5592920877
1030	0.5591640432
1031	0.5589925105
1032	0.5588633529
1033	0.5586414052
1034	0.5585410553
1035	0.558391224
1036	0.5582128619
1037	0.5581233046
1038	0.5580299393
1039	0.5578554959
1040	0.5577135237
1041	0.5575355649
1042	0.5573881402
1043	0.5572567513
1044	0.5570365863
1045	0.5568876695
1046	0.5567727553
1047	0.5566070579
1048	0.5565004198
1049	0.5563445512
1050	0.5561865226
1051	0.5560373039
1052	0.555894311
1053	0.5558107042
1054	0.5556741924
1055	0.5555175797
1056	0.555370096
1057	0.5552671375
1058	0.5551204603
1059	0.5549454244
1060	0.5547463545
1061	0.5545587598
1062	0.5543572477
1063	0.5541728583
1064	0.5540683502
1065	0.553964124
1066	0.553791921
1067	0.5536255018
1068	0.5535323455
1069	0.5533882821
1070	0.5532312508
1071	0.5530257002
1072	0.5528386829
1073	0.5526711587
1074	0.5525916401
1075	0.5524682102
1076	0.5522918688
1077	0.5521101659
1078	0.5519674715
1079	0.5518364142
1080	0.5517091334
1081	0.5515289797
1082	0.5513909274
1083	0.5512207176
1084	0.5510718526
1085	0.550905617
1086	0.5508127778
1087	0.5507084278
1088	0.5505565577
1089	0.5504046238
1090	0.5502976682
1091	0.5501585393
1092	0.5499700456
1093	0.5497595626
1094	0.5496742901
1095	0.5495215212
1096	0.5494144265
1097	0.5492293702
1098	0.5491002996
1099	0.5489759159
1100	0.5488783594
1101	0.5487243454
1102	0.5486071374
1103	0.5484448242
1104	0.5483346077
1105	0.5481896478
1106	0.5480660988
1107	0.5478913989
1108	0.5477110653
1109	0.5475595847
1110	0.5474173393
1111	0.5473044485
1112	0.5471641891
1113	0.5469934454
1114	0.5468648963
1115	0.5467311166
1116	0.54656032
