iter	Passed	Remaining
0	96	127836
1	184	121455
2	271	119135
3	358	117972
4	443	116681
5	530	116093
6	616	115582
7	705	115690
8	794	115749
9	882	115581
10	973	115787
11	1060	115565
12	1146	115284
13	1235	115213
14	1328	115558
15	1411	115057
16	1501	115075
17	1587	114852
18	1677	114840
19	1766	114842
20	1854	114731
21	1944	114732
22	2032	114608
23	2120	114522
24	2208	114383
25	2301	114527
26	2389	114446
27	2476	114290
28	2562	114059
29	2651	114002
30	2738	113885
31	2826	113772
32	2914	113665
33	3003	113606
34	3094	113613
35	3184	113566
36	3277	113650
37	3366	113589
38	3454	113456
39	3545	113447
40	3636	113447
41	3725	113349
42	3814	113271
43	3901	113131
44	3988	113002
45	4079	112977
46	4168	112893
47	4254	112731
48	4340	112593
49	4433	112614
50	4519	112464
51	4606	112317
52	4697	112292
53	4783	112152
54	4872	112066
55	4963	112037
56	5051	111924
57	5137	111791
58	5224	111652
59	5312	111569
60	5400	111460
61	5486	111323
62	5572	111186
63	5659	111071
64	5747	110974
65	5836	110901
66	5928	110863
67	6016	110782
68	6105	110700
69	6197	110664
70	6281	110494
71	6365	110335
72	6451	110205
73	6541	110137
74	6629	110047
75	6716	109940
76	6804	109836
77	6892	109743
78	6979	109647
79	7068	109555
80	7154	109431
81	7240	109312
82	7325	109182
83	7411	109055
84	7498	108953
85	7584	108831
86	7671	108723
87	7761	108658
88	7846	108526
89	7934	108435
90	8019	108302
91	8106	108202
92	8191	108079
93	8278	107974
94	8365	107877
95	8454	107795
96	8541	107698
97	8629	107605
98	8717	107516
99	8802	107396
100	8889	107285
101	8976	107185
102	9064	107098
103	9150	106987
104	9237	106889
105	9323	106780
106	9412	106705
107	9501	106625
108	9588	106529
109	9675	106427
110	9762	106332
111	9848	106217
112	9935	106120
113	10024	106045
114	10111	105953
115	10197	105842
116	10283	105735
117	10375	105689
118	10461	105586
119	10551	105510
120	10639	105426
121	10726	105328
122	10813	105237
123	10898	105119
124	10984	105015
125	11072	104922
126	11160	104836
127	11246	104734
128	11333	104640
129	11422	104559
130	11511	104484
131	11599	104391
132	11684	104280
133	11773	104203
134	11863	104137
135	11950	104043
136	12038	103955
137	12128	103879
138	12218	103814
139	12307	103731
140	12395	103646
141	12480	103538
142	12569	103458
143	12662	103407
144	12749	103316
145	12836	103221
146	12927	103159
147	13015	103071
