Algorithm,Epoch,Accuracy,SMAPE,Iterations,Learning_Rate,Num_Leaves,Max_Depth,Depth
LightGBM,1,44.818148303637685,55.181851696362315,880,0.093,71.0,,
LightGBM,2,45.19280241291575,54.80719758708425,960,0.08600000000000001,79.0,,
LightGBM,3,45.07071175734081,54.92928824265919,1040,0.079,87.0,,
LightGBM,4,45.3419772281048,54.6580227718952,1120,0.07200000000000001,95.0,,
LightGBM,5,45.323639531243664,54.676360468756336,1200,0.065,103.0,,
LightGBM,6,45.365117818399646,54.634882181600354,1280,0.058,111.0,,
LightGBM,7,45.51859903891331,54.48140096108669,1360,0.051000000000000004,119.0,,
LightGBM,8,45.68263624490163,54.31736375509837,1440,0.044000000000000004,127.0,,
LightGBM,9,45.63623693832702,54.36376306167298,1520,0.037000000000000005,135.0,,
LightGBM,10,45.63966708544336,54.36033291455664,1600,0.03,143.0,,
XGBoost,1,44.56944466366073,55.43055533633927,770,0.093,,6.0,
XGBoost,2,45.12956288101668,54.87043711898332,840,0.08600000000000001,,7.0,
XGBoost,3,45.185116708203374,54.814883291796626,910,0.079,,7.0,
XGBoost,4,45.31695049538948,54.68304950461052,980,0.07200000000000001,,8.0,
XGBoost,5,45.476277693254865,54.523722306745135,1050,0.065,,8.0,
XGBoost,6,45.51886366482264,54.48113633517736,1120,0.058,,9.0,
XGBoost,7,45.61135037382049,54.38864962617951,1190,0.051000000000000004,,9.0,
XGBoost,8,45.35720686752458,54.64279313247542,1260,0.044000000000000004,,10.0,
XGBoost,9,45.39398954511192,54.60601045488808,1330,0.037000000000000005,,10.0,
XGBoost,10,45.439231492269386,54.560768507730614,1400,0.03,,11.0,
CatBoost,1,43.08794873876239,56.91205126123761,680,0.093,,,6.0
CatBoost,2,42.98187235118276,57.01812764881724,760,0.08600000000000001,,,6.0
CatBoost,3,43.636966985054904,56.363033014945096,840,0.079,,,7.0
CatBoost,4,43.632734345396464,56.367265654603536,920,0.07200000000000001,,,7.0
CatBoost,5,43.67022808448129,56.32977191551871,1000,0.065,,,7.0
CatBoost,6,44.11401114848081,55.88598885151919,1080,0.058,,,8.0
CatBoost,7,43.977163538561484,56.022836461438516,1160,0.051000000000000004,,,8.0
CatBoost,8,43.9314645278989,56.0685354721011,1240,0.044000000000000004,,,8.0
CatBoost,9,44.2220347046798,55.7779652953202,1320,0.037000000000000005,,,9.0
CatBoost,10,43.801032855746726,56.198967144253274,1400,0.03,,,9.0
